nct_id,title,condition,summary,phase,status,search_text
NCT02627573,Trial of GVHD Prophylasxis With PTCy or Thymoglobulin in Unrelated SCT,"Leukemia, Chronic Myeloid, Myelodysplastic Syndromes, Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative","Purpose There is a growing evidence of high efficacy of post-transplantation cyclophocphomide (PTCy)-based GVHD prophylaxis in haploidentical and matched related and unrelated bone marrow transplantation. There is limitted, but growing data on safety and efficacy of this prophylaxis in unrelated and peripheral blood stem cell transplantations. Use of PTCy in chronic myeloproliferative neoplasms and myelodisplatic syndrome is of particular interest. On the one hand, PTCy could reduce the incidence of chronic GVHD and long-term bormidity. On the other hand, there is a concern, that PTCy can increase the incidence of graft failures in this group of patients. Currently published data indicate that low-dose Thymoglobulin-based prophylaxis is the most promissing compatitor in terms of acute and chronic GVHD control. So there is a rationale to randomize Thymoglobulin and PTCy as GVHD prophilaxis. Pre-transplant assesment of moratlity (PAM)-index will be used as the strata for randomization, as it is the paramter that takes into account the most important factors effecting survival. The conditioning regimen and the other two components of GVHD prophylaxis (mycophenolate mofetil and tacrolimus) will be identical in the two arms of the study.",PHASE2,TERMINATED,"Trial of GVHD Prophylasxis With PTCy or Thymoglobulin in Unrelated SCT Leukemia, Chronic Myeloid, Myelodysplastic Syndromes, Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative Purpose There is a growing evidence of high efficacy of post-transplantation cyclophocphomide (PTCy)-based GVHD prophylaxis in haploidentical and matched related and unrelated bone marrow transplantation. There is limitted, but growing data on safety and efficacy of this prophylaxis in unrelated and peripheral blood stem cell transplantations. Use of PTCy in chronic myeloproliferative neoplasms and myelodisplatic syndrome is of particular interest. On the one hand, PTCy could reduce the incidence of chronic GVHD and long-term bormidity. On the other hand, there is a concern, that PTCy can increase the incidence of graft failures in this group of patients. Currently published data indicate that low-dose Thymoglobulin-based prophylaxis is the most promissing compatitor in terms of acute and chronic GVHD control. So there is a rationale to randomize Thymoglobulin and PTCy as GVHD prophilaxis. Pre-transplant assesment of moratlity (PAM)-index will be used as the strata for randomization, as it is the paramter that takes into account the most important factors effecting survival. The conditioning regimen and the other two components of GVHD prophylaxis (mycophenolate mofetil and tacrolimus) will be identical in the two arms of the study."
NCT00773669,Male Breast Cancer Summa Health System/Akron City Hospital Experience 1995-2007,Breast Cancer,"The primary goal of this retrospective study is to evaluate the male breast cancer patient population at Summa Health System/Akron City Hospital over a period of 18 years and compare the findings to historical data.

The objectives are to:

* identify risk factors.
* evaluate stage and histology at the time of presentation.
* document treatment modalities and outcomes.
* analyze outcomes for comparison to historical data.",,COMPLETED,"Male Breast Cancer Summa Health System/Akron City Hospital Experience 1995-2007 Breast Cancer The primary goal of this retrospective study is to evaluate the male breast cancer patient population at Summa Health System/Akron City Hospital over a period of 18 years and compare the findings to historical data.

The objectives are to:

* identify risk factors.
* evaluate stage and histology at the time of presentation.
* document treatment modalities and outcomes.
* analyze outcomes for comparison to historical data."
NCT03657069,Blossom Smart Expander Technology in Breast Reconstruction in Participants With Breast Cancer Undergoing Mastectomy,"Breast Carcinoma, Breast Disorder","This phase 1 trial studies how well Blossom Smart Expander Technology works in breast reconstruction in participants with breast cancer undergoing mastectomy. Blossom Smart Expander Technology allows for slow and continuous injection of small amounts of saline, from an external pouch and based on precise pressure and volume measurements, into breast expander implants. It may help in achieving the same reconstructive goals as conventional tissue expansion in a shorter period of time and while avoiding frequent injections through the skin, which cause patient discomfort and require many clinic visits.",NA,COMPLETED,"Blossom Smart Expander Technology in Breast Reconstruction in Participants With Breast Cancer Undergoing Mastectomy Breast Carcinoma, Breast Disorder This phase 1 trial studies how well Blossom Smart Expander Technology works in breast reconstruction in participants with breast cancer undergoing mastectomy. Blossom Smart Expander Technology allows for slow and continuous injection of small amounts of saline, from an external pouch and based on precise pressure and volume measurements, into breast expander implants. It may help in achieving the same reconstructive goals as conventional tissue expansion in a shorter period of time and while avoiding frequent injections through the skin, which cause patient discomfort and require many clinic visits."
NCT00003769,Perillyl Alcohol Followed by Surgery in Treating Patients With Stage II or Stage III Pancreatic Cancer,Pancreatic Cancer,"RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Giving chemotherapy before surgery may shrink the tumor so that it can be removed during surgery.

PURPOSE: Phase II trial to study the effectiveness of perillyl alcohol followed by surgery in treating patients who have stage II or stage III pancreatic cancer.",PHASE2,COMPLETED,"Perillyl Alcohol Followed by Surgery in Treating Patients With Stage II or Stage III Pancreatic Cancer Pancreatic Cancer RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Giving chemotherapy before surgery may shrink the tumor so that it can be removed during surgery.

PURPOSE: Phase II trial to study the effectiveness of perillyl alcohol followed by surgery in treating patients who have stage II or stage III pancreatic cancer."
NCT01471483,Geriatric Assessment and Nursing Telephone Intervention in Elderly Women With Ovarian Cancer,"Ovarian Cancer, Peritoneal Cancer, Fallopian Tube Cancer","Older woman with ovarian cancer have a worse prognosis compared to younger patients. However, the reason is not known. Currently, the standard of care is to evaluate younger and older patients with cancer the same way. However, older patients with cancer often have more complicated issues to manage. For example, older patients often have other medical problems, take more medications, and be dependent on others for help and transportation. Too often, the medical team is unaware of these issues which can effect the patients care.

The purpose of this study is to apply a set of questions designed specifically for patients with cancer who are older than 65 years of age. These questions are called a geriatric assessment.

The investigators want to better understand which older patients with ovarian cancer will be able to tolerate the chemotherapy and surgery and why. This study will also see if a telephone call from a nurse who specializes in caring for older patients will improve patient care. This study will determine how feasible it is to perform geriatric assessments and telephone calls in patients with ovarian cancer.",,COMPLETED,"Geriatric Assessment and Nursing Telephone Intervention in Elderly Women With Ovarian Cancer Ovarian Cancer, Peritoneal Cancer, Fallopian Tube Cancer Older woman with ovarian cancer have a worse prognosis compared to younger patients. However, the reason is not known. Currently, the standard of care is to evaluate younger and older patients with cancer the same way. However, older patients with cancer often have more complicated issues to manage. For example, older patients often have other medical problems, take more medications, and be dependent on others for help and transportation. Too often, the medical team is unaware of these issues which can effect the patients care.

The purpose of this study is to apply a set of questions designed specifically for patients with cancer who are older than 65 years of age. These questions are called a geriatric assessment.

The investigators want to better understand which older patients with ovarian cancer will be able to tolerate the chemotherapy and surgery and why. This study will also see if a telephone call from a nurse who specializes in caring for older patients will improve patient care. This study will determine how feasible it is to perform geriatric assessments and telephone calls in patients with ovarian cancer."
NCT02545283,A Study of Idasanutlin With Cytarabine Versus Cytarabine Plus Placebo in Participants With Relapsed or Refractory Acute Myeloid Leukemia (AML),"Leukemia, Myeloid, Acute","This is a multicenter, double-blind, randomized, placebo-controlled study designed to compare overall survival in participants with relapsed or refractory AML treated with idasanutlin in combination with cytarabine versus participants treated with placebo and cytarabine. Participants will receive induction treatment with idasanutlin/placebo and cytarabine (Cycle 1). Responding participants may continue to receive a maximum of further two cycles of consolidation (Cycle 2 and Cycle 3). Complete remission (CR), CR with incomplete platelet count recovery (CRp), overall remission rate (ORR), event-free survival (EFS) and percentage of participants with an allogeneic hematopoietic stem cell transplant (HSCT) will also be compared between treatment arms. This study will include participants with and without TP53 wild type (TP53 WT) mutations.",PHASE3,TERMINATED,"A Study of Idasanutlin With Cytarabine Versus Cytarabine Plus Placebo in Participants With Relapsed or Refractory Acute Myeloid Leukemia (AML) Leukemia, Myeloid, Acute This is a multicenter, double-blind, randomized, placebo-controlled study designed to compare overall survival in participants with relapsed or refractory AML treated with idasanutlin in combination with cytarabine versus participants treated with placebo and cytarabine. Participants will receive induction treatment with idasanutlin/placebo and cytarabine (Cycle 1). Responding participants may continue to receive a maximum of further two cycles of consolidation (Cycle 2 and Cycle 3). Complete remission (CR), CR with incomplete platelet count recovery (CRp), overall remission rate (ORR), event-free survival (EFS) and percentage of participants with an allogeneic hematopoietic stem cell transplant (HSCT) will also be compared between treatment arms. This study will include participants with and without TP53 wild type (TP53 WT) mutations."
NCT03117283,Laparoscopic Total Gastrectomy With Versus Without Bursectomy,"Laparoscopic Gastrectomy, Laparoscopic Bursectomy, A Left Outside Bursa Omentalis Approach","Bursectomy is widely performed in open surgery for advanced gastric cancer in East Asia. However laparoscopic D2 radical total gastrectomy with complete bursectomy is difficult and rare performed. Herein, we conduct a single-centre randomized controlled trial to explore the safety and feasibility of totally laparoscopic D2 radical total gastrectomy using a left outside bursa omentalis approach for achieving complete bursectomy.",PHASE2,UNKNOWN,"Laparoscopic Total Gastrectomy With Versus Without Bursectomy Laparoscopic Gastrectomy, Laparoscopic Bursectomy, A Left Outside Bursa Omentalis Approach Bursectomy is widely performed in open surgery for advanced gastric cancer in East Asia. However laparoscopic D2 radical total gastrectomy with complete bursectomy is difficult and rare performed. Herein, we conduct a single-centre randomized controlled trial to explore the safety and feasibility of totally laparoscopic D2 radical total gastrectomy using a left outside bursa omentalis approach for achieving complete bursectomy."
NCT01968941,Stereotactic Body Radiotherapy Versus Conventional Radiotherapy in Medically-Inoperable Non-Small Lung Cancer Patients,Non-small Cell Lung Cancer,"A multi-centre randomized controlled open-label trial in medically inoperable patients with biopsy-proven early stage non-small cell lung cancer (NSCLC). Eligible and consenting patients will be randomly allocated to receive stereotactic body radiotherapy (SBRT) or conventional radiotherapy (CRT) in a 2:1 ratio. Radiotherapy will be administered as soon as possible following randomization and subjects will be followed for 5 years post-randomization for cancer recurrence, toxicity and survival. The primary outcome is local control (LC). The trial will be conducted at 16-20 clinical centres throughout Canada.",PHASE3,COMPLETED,"Stereotactic Body Radiotherapy Versus Conventional Radiotherapy in Medically-Inoperable Non-Small Lung Cancer Patients Non-small Cell Lung Cancer A multi-centre randomized controlled open-label trial in medically inoperable patients with biopsy-proven early stage non-small cell lung cancer (NSCLC). Eligible and consenting patients will be randomly allocated to receive stereotactic body radiotherapy (SBRT) or conventional radiotherapy (CRT) in a 2:1 ratio. Radiotherapy will be administered as soon as possible following randomization and subjects will be followed for 5 years post-randomization for cancer recurrence, toxicity and survival. The primary outcome is local control (LC). The trial will be conducted at 16-20 clinical centres throughout Canada."
NCT07383441,Adding Biotherapy or Placebo to Standard Treatment for Advanced Kidney Cancer,"Advanced Clear Cell Renal Cell Carcinoma, Metastatic Clear Cell Renal Cell Carcinoma, Stage III Renal Cell Cancer AJCC v8, Stage IV Renal Cell Cancer AJCC v8","This phase III trial compares the effect of adding live biotherapy, MO-03, to standard of care (SOC) immunotherapy, including ipilimumab, nivolumab, axitinib, pembrolizumab, cabozantinib, and lenvatinib, to SOC immunotherapy alone in treating patients with clear cell renal cell cancer that may have spread from where it first started (primary site) to nearby tissue, lymph nodes, or distant parts of the body (advanced) or that has spread from where it first started to other places in the body (metastatic). Studies have shown that gut health (the gut microbiome) may impact the effectiveness of immunotherapy. The microbiome includes all of the bacteria and organisms naturally found in the digestive tract. MO-03, a type of biotherapy, contains material from living organisms that may help keep the digestive tract healthy and may help to increase the effect of immunotherapy. Immunotherapy with monoclonal antibodies, such as ipilimumab, nivolumab, pembrolizumab, may help the body's immune system attack the tumor, and may interfere with the ability of tumor cells to grow and spread. Axitinib, cabozantinib, and lenvatinib are a type of angiogenesis inhibitor and tyrosine kinase inhibitor (TKI) that block certain proteins which may help keep tumor cells from growing and may also help prevent the growth of new blood vessels that tumors need to grow. Adding MO-03 to SOC immunotherapy may be more effective than SOC immunotherapy alone in treating patients with advanced or metastatic clear cell renal cell cancer.",PHASE3,NOT_YET_RECRUITING,"Adding Biotherapy or Placebo to Standard Treatment for Advanced Kidney Cancer Advanced Clear Cell Renal Cell Carcinoma, Metastatic Clear Cell Renal Cell Carcinoma, Stage III Renal Cell Cancer AJCC v8, Stage IV Renal Cell Cancer AJCC v8 This phase III trial compares the effect of adding live biotherapy, MO-03, to standard of care (SOC) immunotherapy, including ipilimumab, nivolumab, axitinib, pembrolizumab, cabozantinib, and lenvatinib, to SOC immunotherapy alone in treating patients with clear cell renal cell cancer that may have spread from where it first started (primary site) to nearby tissue, lymph nodes, or distant parts of the body (advanced) or that has spread from where it first started to other places in the body (metastatic). Studies have shown that gut health (the gut microbiome) may impact the effectiveness of immunotherapy. The microbiome includes all of the bacteria and organisms naturally found in the digestive tract. MO-03, a type of biotherapy, contains material from living organisms that may help keep the digestive tract healthy and may help to increase the effect of immunotherapy. Immunotherapy with monoclonal antibodies, such as ipilimumab, nivolumab, pembrolizumab, may help the body's immune system attack the tumor, and may interfere with the ability of tumor cells to grow and spread. Axitinib, cabozantinib, and lenvatinib are a type of angiogenesis inhibitor and tyrosine kinase inhibitor (TKI) that block certain proteins which may help keep tumor cells from growing and may also help prevent the growth of new blood vessels that tumors need to grow. Adding MO-03 to SOC immunotherapy may be more effective than SOC immunotherapy alone in treating patients with advanced or metastatic clear cell renal cell cancer."
NCT02013154,A Study of DKN-01 in Combination With Paclitaxel or Pembrolizumab,"Esophageal Neoplasms, Adenocarcinoma of the Gastroesophageal Junction, Gastroesophageal Cancer, Squamous Cell Carcinoma, Gastric Adenocarcinoma",A study to evaluate the safety and tolerability of DKN-01 in combination with weekly paclitaxel or pembrolizumab in participants with relapsed or refractory Esophagogastric Malignancies,PHASE1,COMPLETED,"A Study of DKN-01 in Combination With Paclitaxel or Pembrolizumab Esophageal Neoplasms, Adenocarcinoma of the Gastroesophageal Junction, Gastroesophageal Cancer, Squamous Cell Carcinoma, Gastric Adenocarcinoma A study to evaluate the safety and tolerability of DKN-01 in combination with weekly paclitaxel or pembrolizumab in participants with relapsed or refractory Esophagogastric Malignancies"
NCT07101354,Research on PSMA-Targeted Intraoperative Fluorescent Imaging Agents,"Prostate Cancer Patients Undergoing Radical Prostatectomy, Prostate CA","Phase I:

Primary Research Objective:

Evaluate the safety, tolerability, and pharmacokinetic characteristics of a single dose of DGPR1008 in healthy subjects.

Secondary Research Objective:

Based on the safety and pharmacokinetic results, assess the maximum tolerated dose (MTD) and the recommended phase II dose (RP2D) of DGPR1008.",PHASE1,COMPLETED,"Research on PSMA-Targeted Intraoperative Fluorescent Imaging Agents Prostate Cancer Patients Undergoing Radical Prostatectomy, Prostate CA Phase I:

Primary Research Objective:

Evaluate the safety, tolerability, and pharmacokinetic characteristics of a single dose of DGPR1008 in healthy subjects.

Secondary Research Objective:

Based on the safety and pharmacokinetic results, assess the maximum tolerated dose (MTD) and the recommended phase II dose (RP2D) of DGPR1008."
NCT07370805,18F-FAPI PET in Lung Cancer,Lung Cancer (Diagnosis),This study aims to evaluate the diagnostic efficacy and prognostic value of 18F-FAPI PET/CT in lung cancer.,,NOT_YET_RECRUITING,18F-FAPI PET in Lung Cancer Lung Cancer (Diagnosis) This study aims to evaluate the diagnostic efficacy and prognostic value of 18F-FAPI PET/CT in lung cancer.
NCT01858805,Circulating Tumor Cells as a Biomarker for Preoperative Prognostic Staging in Patients With Esophageal Cancer,Resectable Esophageal Cancer,"Despite the availability of several preoperative diagnostic techniques, accurate pretreatment staging of esophageal cancer (EC) remains challenging. Therefore, The investigators evaluated the prognostic significance of circulating tumor cells (CTCs) in patients with EC.",,COMPLETED,"Circulating Tumor Cells as a Biomarker for Preoperative Prognostic Staging in Patients With Esophageal Cancer Resectable Esophageal Cancer Despite the availability of several preoperative diagnostic techniques, accurate pretreatment staging of esophageal cancer (EC) remains challenging. Therefore, The investigators evaluated the prognostic significance of circulating tumor cells (CTCs) in patients with EC."
NCT04681105,Flotetuzumab for the Treatment of Relapsed or Refractory Advanced CD123-Positive Hematological Malignancies,"Recurrent Acute Leukemia, Recurrent B Acute Lymphoblastic Leukemia, Recurrent Blastic Plasmacytoid Dendritic Cell Neoplasm, Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive, Recurrent Hairy Cell Leukemia, Recurrent Hematologic Malignancy, Recurrent Hodgkin Lymphoma, Recurrent T Acute Lymphoblastic Leukemia, Refractory Acute Leukemia, Refractory B Acute Lymphoblastic Leukemia, Refractory Blastic Plasmacytoid Dendritic Cell Neoplasm, Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive, Refractory Hairy Cell Leukemia, Refractory Hematologic Malignancy, Refractory Hodgkin Lymphoma, Refractory T Acute Lymphoblastic Leukemia, Systemic Mastocytosis",This phase I trial studies the best dose and side effects of flotetuzumab for the treatment of patients with blood cancers (hematological malignancies) that have spread to other places in the body (advanced) and have come back after a period of improvement (relapsed) or does not respond to treatment (refractory). Flotetuzumab is a monoclonal antibody that may interfere with the ability of cancer cells to grow and spread.,PHASE1,COMPLETED,"Flotetuzumab for the Treatment of Relapsed or Refractory Advanced CD123-Positive Hematological Malignancies Recurrent Acute Leukemia, Recurrent B Acute Lymphoblastic Leukemia, Recurrent Blastic Plasmacytoid Dendritic Cell Neoplasm, Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive, Recurrent Hairy Cell Leukemia, Recurrent Hematologic Malignancy, Recurrent Hodgkin Lymphoma, Recurrent T Acute Lymphoblastic Leukemia, Refractory Acute Leukemia, Refractory B Acute Lymphoblastic Leukemia, Refractory Blastic Plasmacytoid Dendritic Cell Neoplasm, Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive, Refractory Hairy Cell Leukemia, Refractory Hematologic Malignancy, Refractory Hodgkin Lymphoma, Refractory T Acute Lymphoblastic Leukemia, Systemic Mastocytosis This phase I trial studies the best dose and side effects of flotetuzumab for the treatment of patients with blood cancers (hematological malignancies) that have spread to other places in the body (advanced) and have come back after a period of improvement (relapsed) or does not respond to treatment (refractory). Flotetuzumab is a monoclonal antibody that may interfere with the ability of cancer cells to grow and spread."
NCT06234605,A Study of HC-7366 in Combination With Belzutifan (WELIREG™) in Patients With Renal Cell Carcinoma,Renal Cell Carcinoma,"This is a Phase 1b, open-label, multicenter, safety, tolerability and efficacy study of HC-7366 in combination with belzutifan (WELIREG™). This is a multipart study that consists of a HC-7366 monotherapy cohort, a combination dose escalation, and a combination dose expansion. Approximately 80 patients will be enrolled in this study (up to 20 patients will be enrolled into the HC-7366 monotherapy cohort, up to 30 patients into the combination dose escalation, and up to 30 patients into the combination dose expansion). The primary purpose of this study is to determine the maximum tolerated dose of HC-7366 in combination with belzutifan in patients with locally advanced (inoperable) or metastatic RCC with predominantly clear cell histology, irrespective of VHL gene mutation status.",PHASE1,RECRUITING,"A Study of HC-7366 in Combination With Belzutifan (WELIREG™) in Patients With Renal Cell Carcinoma Renal Cell Carcinoma This is a Phase 1b, open-label, multicenter, safety, tolerability and efficacy study of HC-7366 in combination with belzutifan (WELIREG™). This is a multipart study that consists of a HC-7366 monotherapy cohort, a combination dose escalation, and a combination dose expansion. Approximately 80 patients will be enrolled in this study (up to 20 patients will be enrolled into the HC-7366 monotherapy cohort, up to 30 patients into the combination dose escalation, and up to 30 patients into the combination dose expansion). The primary purpose of this study is to determine the maximum tolerated dose of HC-7366 in combination with belzutifan in patients with locally advanced (inoperable) or metastatic RCC with predominantly clear cell histology, irrespective of VHL gene mutation status."
NCT04279405,A Phase Ib Study of YY-20394 in Participants With B-cell Hematologic Malignancies,"Small Lymphocytic Lymphoma, Lymphoplasmacytic Lymphoma, Marginal Zone Lymphoma, Mantle Cell Lymphoma, Diffuse Large B Cell Lymphoma","Protocol YY-20394-007 is a phase1 open-label, single-arm, multi-centre study to assess the safety and efficacy of YY-20394 in participants with relapse and/or refractory B cell malignant hematological tumor. eligible participants will initiate oral therapy with YY-20394 at a starting dose of 80mg taken once per day. treatment with YY-20394 can continue in compliant participants as long as the study is still ongoing and the participants appear to benefiting from treatment with acceptable safety.",PHASE1,COMPLETED,"A Phase Ib Study of YY-20394 in Participants With B-cell Hematologic Malignancies Small Lymphocytic Lymphoma, Lymphoplasmacytic Lymphoma, Marginal Zone Lymphoma, Mantle Cell Lymphoma, Diffuse Large B Cell Lymphoma Protocol YY-20394-007 is a phase1 open-label, single-arm, multi-centre study to assess the safety and efficacy of YY-20394 in participants with relapse and/or refractory B cell malignant hematological tumor. eligible participants will initiate oral therapy with YY-20394 at a starting dose of 80mg taken once per day. treatment with YY-20394 can continue in compliant participants as long as the study is still ongoing and the participants appear to benefiting from treatment with acceptable safety."
NCT04483505,"Rogaratinib, Palbociclib y Fulvestrant in Patients With Breast Cancer.","Breast Cancer Metastatic, Hormone Receptor Positive Malignant Neoplasm of Breast","This study is an open, multicenter, prospective phase I dose escalation clinical trial followed by an expansion cohort. The aim of this study is to asses the Recommended Phase 2 Dose (R2PD) and the safety profile, among other efficacy, in FGFR1/2/3 positive, hormone receptor-positive breast cancer (HRPBC) patients with metastatic disease after progression to the combination of an aromatase inhibitor plus palbociclib, abemaciclib or ribociclib, according RECIST 1.1 criteria.",PHASE1,COMPLETED,"Rogaratinib, Palbociclib y Fulvestrant in Patients With Breast Cancer. Breast Cancer Metastatic, Hormone Receptor Positive Malignant Neoplasm of Breast This study is an open, multicenter, prospective phase I dose escalation clinical trial followed by an expansion cohort. The aim of this study is to asses the Recommended Phase 2 Dose (R2PD) and the safety profile, among other efficacy, in FGFR1/2/3 positive, hormone receptor-positive breast cancer (HRPBC) patients with metastatic disease after progression to the combination of an aromatase inhibitor plus palbociclib, abemaciclib or ribociclib, according RECIST 1.1 criteria."
NCT04379505,Palliative Expeditiously Adaptive Quad Shot Radiation Therapy (PEAQ-RT),Head and Neck Cancer,"The investigators propose evaluating the feasibility of using the novel cone beam computed tomography (CBCT)-guided Ethos system to deliver expedited, adaptive Quad shot radiation for the purpose of palliative radiation of patients with advanced head and neck cancers or patients with a history of any malignancy experiencing current head and neck lesions. Quad shot radiation was selected as the palliative regimen of choice given its low toxicity profile, well published efficacy in palliation, frequent usage in the US for palliation of head and neck cancers, and safety in the setting of re-irradiation. The use of the Ethos platform to perform online adaptive radiation planning and delivery remains novel and untested. The Ethos system would be used to consolidate CT simulation, replanning, and treatment for Quad shot patients receiving treatment with the benefit of reduced patient travel and a reduction in the unwanted delay between Quad shot cycles. The goal of this pilot study will be to evaluate the feasibility of the Ethos system to eliminate the need for a CT simulation for cycles 2 and 3 of Quad shot radiation.",NA,COMPLETED,"Palliative Expeditiously Adaptive Quad Shot Radiation Therapy (PEAQ-RT) Head and Neck Cancer The investigators propose evaluating the feasibility of using the novel cone beam computed tomography (CBCT)-guided Ethos system to deliver expedited, adaptive Quad shot radiation for the purpose of palliative radiation of patients with advanced head and neck cancers or patients with a history of any malignancy experiencing current head and neck lesions. Quad shot radiation was selected as the palliative regimen of choice given its low toxicity profile, well published efficacy in palliation, frequent usage in the US for palliation of head and neck cancers, and safety in the setting of re-irradiation. The use of the Ethos platform to perform online adaptive radiation planning and delivery remains novel and untested. The Ethos system would be used to consolidate CT simulation, replanning, and treatment for Quad shot patients receiving treatment with the benefit of reduced patient travel and a reduction in the unwanted delay between Quad shot cycles. The goal of this pilot study will be to evaluate the feasibility of the Ethos system to eliminate the need for a CT simulation for cycles 2 and 3 of Quad shot radiation."
NCT04679194,Study of Mana 312 (Multi Tumor-Associated Antigen T Cells) in Adults With AML/MDS After HSCT,AML/MDS,"This is a Phase 1, open-label, non-randomized, single and multiple dose escalation study designed to evaluate the safety and preliminary efficacy of administering Mana 312 to subjects with AML/MDS after allogeneic HSCT.",PHASE1,TERMINATED,"Study of Mana 312 (Multi Tumor-Associated Antigen T Cells) in Adults With AML/MDS After HSCT AML/MDS This is a Phase 1, open-label, non-randomized, single and multiple dose escalation study designed to evaluate the safety and preliminary efficacy of administering Mana 312 to subjects with AML/MDS after allogeneic HSCT."
NCT02934594,Metastatic Spinal Cord Compression (MSCC): Treatment Timing and Survival Rate,"Neoplasm Metastasis, Spinal Cord Compression",Patients with metastatic spinal cord compression (MSCC) are treated with different options according to the life expectancy. Survival and surgical outcome can be influenced by surgical timing in MSCC patients treated with palliative decompression.,,UNKNOWN,"Metastatic Spinal Cord Compression (MSCC): Treatment Timing and Survival Rate Neoplasm Metastasis, Spinal Cord Compression Patients with metastatic spinal cord compression (MSCC) are treated with different options according to the life expectancy. Survival and surgical outcome can be influenced by surgical timing in MSCC patients treated with palliative decompression."
NCT01477866,Utility Of Citogenex Administration In Patients With Colon-Rectal Cancer,Colonic Neoplasms,The main aim of the present study is to test the efficacy and safety of CITOGENEX administration in patients with colon-rectal cancer.,NA,SUSPENDED,Utility Of Citogenex Administration In Patients With Colon-Rectal Cancer Colonic Neoplasms The main aim of the present study is to test the efficacy and safety of CITOGENEX administration in patients with colon-rectal cancer.
NCT01672450,A Study of Intratumoral Injection of Interleukin-2 and Ipilimumab in Patients With Unresectable Stages III-IV Melanoma,Melanoma,"This is a single center, open phase I dose escalation study. This study will assess the highest tolerable intratumoral dose of ipilimumab (Yervoy) in combination with IL-2 (Proleukin) in patients with unresectable stages III-IV melanoma with accessible cutaneous, subcutaneous, and/or nodal lesions. The objective is to primarily assess the safety of the drug combination, and to secondarily obtain preliminary data on the clinical efficacy of the combination.",PHASE1,COMPLETED,"A Study of Intratumoral Injection of Interleukin-2 and Ipilimumab in Patients With Unresectable Stages III-IV Melanoma Melanoma This is a single center, open phase I dose escalation study. This study will assess the highest tolerable intratumoral dose of ipilimumab (Yervoy) in combination with IL-2 (Proleukin) in patients with unresectable stages III-IV melanoma with accessible cutaneous, subcutaneous, and/or nodal lesions. The objective is to primarily assess the safety of the drug combination, and to secondarily obtain preliminary data on the clinical efficacy of the combination."
NCT05465174,Tovorafenib for Treatment of Craniopharyngioma in Children and Young Adults,"Craniopharyngioma, Child, Craniopharyngioma, Recurrent Craniopharyngioma",The current study assesses the tolerability and efficacy of monotherapy with pan-RAF-kinase (Tovorafenib) inhibition for the treatment of children and young adults with craniopharyngioma.,PHASE2,RECRUITING,"Tovorafenib for Treatment of Craniopharyngioma in Children and Young Adults Craniopharyngioma, Child, Craniopharyngioma, Recurrent Craniopharyngioma The current study assesses the tolerability and efficacy of monotherapy with pan-RAF-kinase (Tovorafenib) inhibition for the treatment of children and young adults with craniopharyngioma."
NCT00482274,Docetaxel in Treating Patients With Relapsed Prostate Cancer,Prostate Cancer,"RATIONALE: Drugs used in chemotherapy, such as docetaxel, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing.

PURPOSE: This phase II trial is studying how well docetaxel works in treating patients with relapsed prostate cancer.",PHASE2,TERMINATED,"Docetaxel in Treating Patients With Relapsed Prostate Cancer Prostate Cancer RATIONALE: Drugs used in chemotherapy, such as docetaxel, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing.

PURPOSE: This phase II trial is studying how well docetaxel works in treating patients with relapsed prostate cancer."
